datetime,flow
2016-02-23 00:00,9590.4
2016-02-23 04:00,9244.8
2016-02-23 08:00,10800
2016-02-23 12:00,8467.2
2016-02-23 16:00,2937.6
2016-02-23 20:00,2678.4
2016-02-24 00:00,3024
2016-02-24 04:00,3110.4
2016-02-24 08:00,1641.6
2016-02-24 12:00,1296
2016-02-24 16:00,2678.4
2016-02-24 20:00,3888
2016-02-25 00:00,3024
2016-02-25 04:00,2851.2
2016-02-25 08:00,2246.4
2016-02-25 12:00,1036.8
2016-02-25 16:00,1900.8
2016-02-25 20:00,2851.2
2016-02-26 00:00,1641.6
2016-02-26 04:00,1468.8
2016-02-26 08:00,1814.4
2016-02-26 12:00,2160
2016-02-26 16:00,6134.4
2016-02-26 20:00,4060.8
2016-02-27 00:00,2678.4
2016-02-27 04:00,3024
2016-02-27 08:00,2505.6
2016-02-27 12:00,864
2016-02-27 16:00,1036.8
2016-02-27 20:00,3628.8
2016-02-28 00:00,1987.2
2016-02-28 04:00,2332.8
2016-02-28 08:00,2678.4
2016-02-28 12:00,1296
2016-02-28 16:00,2160
2016-02-28 20:00,3888
2016-02-29 00:00,3888
2016-02-29 04:00,2592
2016-02-29 08:00,1555.2
2016-02-29 12:00,172.8
2016-02-29 16:00,0
2016-02-29 20:00,345.6
2016-03-01 00:00,950.4
2016-03-01 04:00,172.8
2016-03-01 08:00,950.4
2016-03-01 12:00,172.8
2016-03-01 16:00,259.2
2016-03-01 20:00,1209.6
2016-03-02 00:00,518.4
2016-03-02 04:00,1296
2016-03-02 08:00,3024
2016-03-02 12:00,2764.8
2016-03-02 16:00,5184
2016-03-02 20:00,5616
2016-03-03 00:00,5356.8
2016-03-03 04:00,4752
2016-03-03 08:00,4147.2
2016-03-03 12:00,2937.6
2016-03-03 16:00,2160
2016-03-03 20:00,2851.2
2016-03-04 00:00,3456
2016-03-04 04:00,3024
2016-03-04 08:00,4320
2016-03-04 12:00,1900.8
2016-03-04 16:00,2678.4
2016-03-04 20:00,2937.6
2016-03-05 00:00,3628.8
2016-03-05 04:00,2764.8
2016-03-05 08:00,3369.6
2016-03-05 12:00,3715.2
2016-03-05 16:00,3888
2016-03-05 20:00,4147.2
2016-03-06 00:00,2937.6
2016-03-06 04:00,2332.8
2016-03-06 08:00,4233.6
2016-03-06 12:00,3456
2016-03-06 16:00,3801.6
2016-03-06 20:00,4320
2016-03-07 00:00,4147.2
2016-03-07 04:00,5011.2
2016-03-07 08:00,5184
2016-03-07 12:00,4406.4
2016-03-07 16:00,3888
2016-03-07 20:00,3542.4
2016-03-08 00:00,3283.2
2016-03-08 04:00,2678.4
2016-03-08 08:00,3369.6
2016-03-08 12:00,2851.2
2016-03-08 16:00,2073.6
2016-03-08 20:00,1900.8
2016-03-09 00:00,2073.6
2016-03-09 04:00,1728
2016-03-09 08:00,2332.8
2016-03-09 12:00,2678.4
2016-03-09 16:00,1987.2
2016-03-09 20:00,2764.8
2016-03-10 00:00,2592
2016-03-10 04:00,2851.2
2016-03-10 08:00,2246.4
2016-03-10 12:00,2160
2016-03-10 16:00,2505.6
2016-03-10 20:00,2851.2
2016-03-11 00:00,1814.4
2016-03-11 04:00,1382.4
2016-03-11 08:00,2160
2016-03-11 12:00,1382.4
2016-03-11 16:00,2160
2016-03-11 20:00,2160
2016-03-12 00:00,1555.2
2016-03-12 04:00,1382.4
2016-03-12 08:00,2332.8
2016-03-12 12:00,777.6
2016-03-12 16:00,1382.4
2016-03-12 20:00,1209.6
2016-03-13 00:00,691.2
2016-03-13 04:00,1468.8
2016-03-13 08:00,1209.6
2016-03-13 12:00,1123.2
2016-03-13 16:00,1382.4
2016-03-13 20:00,1468.8
2016-03-14 00:00,1728
2016-03-14 04:00,1382.4
2016-03-14 08:00,2764.8
2016-03-14 12:00,2246.4
2016-03-14 16:00,4838.4
2016-03-14 20:00,4752
2016-03-15 00:00,5875.2
2016-03-15 04:00,6048
2016-03-15 08:00,6480
2016-03-15 12:00,5184
2016-03-15 16:00,7862.4
2016-03-15 20:00,10281.6
2016-03-16 00:00,11923.2
2016-03-16 04:00,10627.2
2016-03-16 08:00,11059.2
2016-03-16 12:00,8380.8
2016-03-16 16:00,8553.6
2016-03-16 20:00,10281.6
2016-03-17 00:00,11491.2
2016-03-17 04:00,10540.8
2016-03-17 08:00,10886.4
2016-03-17 12:00,7430.4
2016-03-17 16:00,5616
2016-03-17 20:00,11404.8
2016-03-18 00:00,10108.8
2016-03-18 04:00,10281.6
2016-03-18 08:00,13651.2
2016-03-18 12:00,11059.2
2016-03-18 16:00,10022.4
2016-03-18 20:00,12614.4
2016-03-19 00:00,10195.2
2016-03-19 04:00,5270.4
2016-03-19 08:00,6393.6
2016-03-19 12:00,5961.6
2016-03-19 16:00,7603.2
2016-03-19 20:00,10627.2
2016-03-20 00:00,9849.6
2016-03-20 04:00,9504
2016-03-20 08:00,9417.6
2016-03-20 12:00,8294.4
2016-03-20 16:00,8726.4
2016-03-20 20:00,9763.2
2016-03-21 00:00,13564.8
2016-03-21 04:00,11145.6
2016-03-21 08:00,11664
2016-03-21 12:00,9331.2
2016-03-21 16:00,10195.2
2016-03-21 20:00,10800
2016-03-22 00:00,12268.8
2016-03-22 04:00,12096
2016-03-22 08:00,13392
2016-03-22 12:00,16675.2
2016-03-22 16:00,14083.2
2016-03-22 20:00,11750.4
2016-03-23 00:00,11750.4
2016-03-23 04:00,14601.6
2016-03-23 08:00,20908.8
2016-03-23 12:00,22636.8
2016-03-23 16:00,23155.2
2016-03-23 20:00,29116.8
2016-03-24 00:00,30153.6
2016-03-24 04:00,25401.6
2016-03-24 08:00,23241.6
2016-03-24 12:00,16675.2
2016-03-24 16:00,11404.8
2016-03-24 20:00,11404.8
2016-03-25 00:00,7516.8
2016-03-25 04:00,4665.6
2016-03-25 08:00,3715.2
2016-03-25 12:00,3369.6
2016-03-25 16:00,4320
2016-03-25 20:00,10540.8
2016-03-26 00:00,23241.6
2016-03-26 04:00,29116.8
2016-03-26 08:00,32140.8
2016-03-26 12:00,31536
2016-03-26 16:00,29116.8
2016-03-26 20:00,27302.4
2016-03-27 00:00,24883.2
2016-03-27 04:00,14688
2016-03-27 08:00,8380.8
2016-03-27 12:00,4665.6
2016-03-27 16:00,5616
2016-03-27 20:00,14688
2016-03-28 00:00,20995.2
2016-03-28 04:00,23068.8
2016-03-28 08:00,23328
2016-03-28 12:00,18921.6
2016-03-28 16:00,11836.8
2016-03-28 20:00,7603.2
2016-03-29 00:00,1296
2016-03-29 04:00,691.2
2016-03-29 08:00,691.2
2016-03-29 12:00,259.2
2016-03-29 16:00,4060.8
2016-03-29 20:00,5443.2
2016-03-30 00:00,6825.6
2016-03-30 04:00,6825.6
2016-03-30 08:00,6825.6
2016-03-30 12:00,10454.4
2016-03-30 16:00,10195.2
2016-03-30 20:00,12787.2
2016-03-31 00:00,14774.4
2016-03-31 04:00,17193.6
2016-03-31 08:00,20476.8
2016-03-31 12:00,22204.8
2016-03-31 16:00,22809.6
2016-03-31 20:00,27388.8
2016-04-01 00:00,39484.8
2016-04-01 04:00,47952
2016-04-01 08:00,58492.8
2016-04-01 12:00,63072
2016-04-01 16:00,64713.6
2016-04-01 20:00,68947.2
2016-04-02 00:00,70588.8
2016-04-02 04:00,71452.8
2016-04-02 08:00,65577.6
2016-04-02 12:00,66441.6
2016-04-02 16:00,62640
2016-04-02 20:00,63936
2016-04-03 00:00,66441.6
2016-04-03 04:00,64800
2016-04-03 08:00,65664
2016-04-03 12:00,64022.4
2016-04-03 16:00,59356.8
2016-04-03 20:00,59443.2
2016-04-04 00:00,54691.2
2016-04-04 04:00,50284.8
2016-04-04 08:00,49593.6
2016-04-04 12:00,47347.2
