Namn,N,E,Prov,Typ,Datum,Tetrachlorethylen
S7,6656871.57,160822.13,S7,Grab sample,2019-10-15,2.3
S9,6656905.5,160674.39,S9,Grab sample,2019-10-15,4.3
GP1802,6656923.71,160810.8,GP1802_1-2,Geoprobe,2018-11-09,480
GP1802,6656923.71,160810.8,GP1802_2-3,Geoprobe,2018-11-09,1200
GP1802,6656923.71,160810.8,GP1802_4-5,Geoprobe,2018-11-09,3600
GP1802,6656923.71,160810.8,GP1802_5-6,Geoprobe,2018-11-09,7000
GP1802,6656923.71,160810.8,GP1802_7-8,Geoprobe,2018-11-09,4300
GP1803,6656911.8,160824,GP1803_2-1,Geoprobe,2018-11-09,3600
GP1803,6656911.8,160824,GP1803_3-2,Geoprobe,2018-11-09,7300
GP1803,6656911.8,160824,GP1803_4-3,Geoprobe,2018-11-09,3700
GP1803,6656911.8,160824,GP1803_5-4,Geoprobe,2018-11-09,3200
GP1803,6656911.8,160824,GP1803_6-5,Geoprobe,2018-11-09,2300
GP1803,6656911.8,160824,GP1803_8-7,Geoprobe,2018-11-09,3200
GP1804,6656903.98,160833.06,GP1804_3-4,Geoprobe,2018-11-09,780
GP1804,6656903.98,160833.06,GP1804_4-5,Geoprobe,2018-11-09,2100
GP1804,6656903.98,160833.06,GP1804_5-6,Geoprobe,2018-11-09,1700
GP1804,6656903.98,160833.06,GP1804_7-8,Geoprobe,2018-11-09,1600
GP1804,6656903.98,160833.06,GP1804_3-2,Geoprobe,2018-11-09,720
GP1804,6656903.98,160833.06,GP1804_2-1,Geoprobe,2018-11-09,870
GP1805,6656923.452,160805.061,GP1805_2-3,Geoprobe,2018-11-09,2800
GP1805,6656923.452,160805.061,GP1805_3-4,Geoprobe,2018-11-09,6300
GP1805,6656923.452,160805.061,GP1805_4-5,Geoprobe,2018-11-09,1500
GP1805,6656923.452,160805.061,GP1805_5-6,Geoprobe,2018-11-09,400
GP1805,6656923.452,160805.061,GP1805_6-7,Geoprobe,2018-11-09,450
GP1805,6656923.452,160805.061,GP1805_8-9,Geoprobe,2018-11-09,250
S1,6657067.28,161138.56,S1,Grab sample,2018-11-09,"<0,020"
S10,6657004.37,160068.97,S10,Grab sample,2018-11-09,35
S2,6656872.39,161069.66,S2,Grab sample,2018-11-09,"<0,020"
S3,6656896.88,160992.98,S3,Grab sample,2018-11-09,8.1
S3a,6656921.23,160966.01,S3a,Grab sample,2018-11-09,18
S4,6656924.68,160946.41,S4,Grab sample,2018-11-09,16
S4 GS,6656924.68,160946.41,S4 GS,Grab sample,2018-11-09,21
S4a,6656941.73,160930.83,S4a,Grab sample,2018-11-09,12
S5,6656940.82,160906.92,S5,Grab sample,2018-11-09,30
S6,6656898.71,160879.98,S6,Grab sample,2018-11-09,14
S6 GS,6656898.71,160879.98,S6 GS,Grab sample,2018-11-09,16
S7,6656871.57,160822.13,S7,Grab sample,2018-11-09,18
S8a,6656903.75,160767.94,S8a,Grab sample,2018-11-09,43
S8a N10,6656920.83,160801.93,S8a N10,Grab sample,2018-11-09,960
S8B,6656907.91,160720.22,S8B,Grab sample,2018-11-09,39
S9,6656905.5,160674.39,S9,Grab sample,2018-11-09,44
S9 GS,6656905.5,160674.39,S9 GS,Grab sample,2018-11-09,44
S7,6656871.57,160822.13,S7,Grab sample,2018-11-01,12
S9,6656905.5,160674.39,S9,Grab sample,2018-11-01,30
U3-100_3,6656897.054,160788.0231,U3-100_3,Grab sample,2018-05-16,17
U3-101_3,6656896.862,160788.85,U3-101_3,Grab sample,2018-05-16,19
U3-102_3,6656896.752,160789.79,U3-102_3,Grab sample,2018-05-16,18
U3-103_3,6656896.632,160790.73,U3-103_3,Grab sample,2018-05-16,18
U3-104_3,6656896.522,160791.68,U3-104_3,Grab sample,2018-05-16,18
U3-105_3,6656896.412,160792.62,U3-105_3,Grab sample,2018-05-16,35
U3-106_3,6656896.302,160793.56,U3-106_3,Grab sample,2018-05-16,22
U3-107_3,6656895.977,160794.592,U3-107_3,Grab sample,2018-05-16,24
U3-108_3,6656895.645,160795.6561,U3-108_3,Grab sample,2018-05-16,20
U3-109_3,6656895.408,160796.5361,U3-109_3,Grab sample,2018-05-16,20
U3-110_3,6656895.048,160797.4161,U3-110_3,Grab sample,2018-05-16,18
U3-111_3,6656894.678,160798.2961,U3-111_3,Grab sample,2018-05-16,24
U3-112_3,6656894.318,160799.1661,U3-112_3,Grab sample,2018-05-16,16
U3-113_3,6656894.163,160800.1282,U3-113_3,Grab sample,2018-05-16,15
U3-114_3,6656893.916,160801.0492,U3-114_3,Grab sample,2018-05-16,16
U3-115_3,6656893.514,160802.1033,U3-115_3,Grab sample,2018-05-16,24
U3-116_3,6656893.14,160803.0743,U3-116_3,Grab sample,2018-05-16,24
U3-117_3,6656892.684,160803.9123,U3-117_3,Grab sample,2018-05-16,16
U3-118_3,6656892.022,160804.6782,U3-118_3,Grab sample,2018-05-16,18
U3-119_3,6656891.168,160805.389,U3-119_3,Grab sample,2018-05-16,11
U3-120_3,6656890.471,160805.9798,U3-120_3,Grab sample,2018-05-16,12
U3-121_3,6656889.594,160806.7608,U3-121_3,Grab sample,2018-05-16,11
U3-122_3,6656888.932,160807.4698,U3-122_3,Grab sample,2018-05-16,12
U3-123_3,6656888.352,160808.2198,U3-123_3,Grab sample,2018-05-16,12
U3-124_3,6656887.772,160808.9798,U3-124_3,Grab sample,2018-05-16,12
U3-125_3,6656887.192,160809.7298,U3-125_3,Grab sample,2018-05-16,12
U3-126_3,6656886.602,160810.4798,U3-126_3,Grab sample,2018-05-16,13
U3-127_3,6656885.932,160811.1498,U3-127_3,Grab sample,2018-05-16,13
U3-128_3,6656885.262,160811.8198,U3-128_3,Grab sample,2018-05-16,11
U3-129_3,6656884.592,160812.4898,U3-129_3,Grab sample,2018-05-16,13
U3-130_3,6656883.912,160813.1598,U3-130_3,Grab sample,2018-05-16,11
U3-131_3,6656883.152,160813.7098,U3-131_3,Grab sample,2018-05-16,14
U3-132_3,6656882.392,160814.2698,U3-132_3,Grab sample,2018-05-16,14
U3-133_3,6656881.562,160814.7398,U3-133_3,Grab sample,2018-05-16,15
U3-134_3,6656880.742,160815.2098,U3-134_3,Grab sample,2018-05-16,8.6
U3-135_3,6656879.892,160815.6298,U3-135_3,Grab sample,2018-05-16,14
U3-136_3,6656879.042,160816.0498,U3-136_3,Grab sample,2018-05-16,21
U3-137_3,6656878.182,160816.4498,U3-137_3,Grab sample,2018-05-16,17
U3-138_3,6656877.322,160816.8598,U3-138_3,Grab sample,2018-05-16,19
U3-139_3,6656876.462,160817.2598,U3-139_3,Grab sample,2018-05-16,20
U3-140_3,6656875.602,160817.6698,U3-140_3,Grab sample,2018-05-16,9.7
U3-141_3,6656874.742,160818.0698,U3-141_3,Grab sample,2018-05-16,26
U3-142_3,6656873.882,160818.4798,U3-142_3,Grab sample,2018-05-16,16
U3-143_3,6656873.022,160818.8898,U3-143_3,Grab sample,2018-05-16,11
U3-144_3,6656872.162,160819.2898,U3-144_3,Grab sample,2018-05-16,11
U3-145_3,6656871.452,160819.8798,U3-145_3,Grab sample,2018-05-16,10
U3-146_3,6656870.752,160820.4798,U3-146_3,Grab sample,2018-05-16,11
U3-147_3,6656870.172,160821.2298,U3-147_3,Grab sample,2018-05-16,11
U3-148_3,6656869.592,160821.9798,U3-148_3,Grab sample,2018-05-16,8.2
U3-149_3,6656868.834,160822.9236,U3-149_3,Grab sample,2018-05-16,10
U3-150_3,6656868.457,160824.1545,U3-150_3,Grab sample,2018-05-16,9.8
U3-40_3,6656897.635,160802.938,U3-40_3,Grab sample,2018-05-16,12
U3-41_3,6656897.425,160803.908,U3-41_3,Grab sample,2018-05-16,20
U3-42_3,6656897.328,160804.8469,U3-42_3,Grab sample,2018-05-16,16
U3-43_3,6656897.323,160805.868,U3-43_3,Grab sample,2018-05-16,17
U3-44_3,6656897.094,160806.5718,U3-44_3,Grab sample,2018-05-16,9.2
U3-45_3,6656896.19,160807.1188,U3-45_3,Grab sample,2018-05-16,11
U3-46_3,6656895.46,160807.6657,U3-46_3,Grab sample,2018-05-16,14
U3-47_3,6656894.638,160808.2636,U3-47_3,Grab sample,2018-05-16,13
U3-48_3,6656893.898,160808.9336,U3-48_3,Grab sample,2018-05-16,11
U3-49_3,6656893.138,160809.5936,U3-49_3,Grab sample,2018-05-16,13
U3-50_3,6656892.388,160810.2436,U3-50_3,Grab sample,2018-05-16,13
U3-51_3,6656891.628,160810.8936,U3-51_3,Grab sample,2018-05-16,12
U3-52_3,6656890.868,160811.5436,U3-52_3,Grab sample,2018-05-16,13
U3-53_3,6656890.108,160812.2036,U3-53_3,Grab sample,2018-05-16,13
U3-54_3,6656889.348,160812.8536,U3-54_3,Grab sample,2018-05-16,10
U3-55_3,6656888.588,160813.5036,U3-55_3,Grab sample,2018-05-16,13
U3-56_3,6656887.828,160814.1536,U3-56_3,Grab sample,2018-05-16,12
U3-57_3,6656887.098,160814.8336,U3-57_3,Grab sample,2018-05-16,14
U3-58_3,6656886.368,160815.5136,U3-58_3,Grab sample,2018-05-16,14
U3-59_3,6656885.628,160816.1936,U3-59_3,Grab sample,2018-05-16,13
U3-60_3,6656884.816,160816.8326,U3-60_3,Grab sample,2018-05-16,15
U3-61_3,6656883.963,160817.2255,U3-61_3,Grab sample,2018-05-16,11
U3-62_3,6656883.101,160817.8355,U3-62_3,Grab sample,2018-05-16,12
U3-63_3,6656882.468,160818.5636,U3-63_3,Grab sample,2018-05-16,14
U3-64_3,6656881.548,160818.9636,U3-64_3,Grab sample,2018-05-16,15
U3-65_3,6656880.638,160819.3636,U3-65_3,Grab sample,2018-05-16,14
U3-66_3,6656879.718,160819.7636,U3-66_3,Grab sample,2018-05-16,15
U3-67_3,6656878.798,160820.1536,U3-67_3,Grab sample,2018-05-16,13
U3-68_3,6656877.868,160820.5136,U3-68_3,Grab sample,2018-05-16,13
U3-69_3,6656876.938,160820.8836,U3-69_3,Grab sample,2018-05-16,8.8
U3-70_3,6656876.008,160821.2436,U3-70_3,Grab sample,2018-05-16,9.8
U3-71_3,6656875.316,160821.6649,U3-71_3,Grab sample,2018-05-16,10
U3-72_3,6656874.274,160821.8939,U3-72_3,Grab sample,2018-05-16,9.4
U3-73_3,6656873.232,160822.328,U3-73_3,Grab sample,2018-05-16,10
U3-74_3,6656872.217,160823.1149,U3-74_3,Grab sample,2018-05-16,9.9
U3-75_3,6656871.513,160824.5057,U3-75_3,Grab sample,2018-05-16,10
U3-76_3,6656900.98,160766.05,U3-76_3,Grab sample,2018-05-16,18
U3-77_3,6656900.82,160766.97,U3-77_3,Grab sample,2018-05-16,18
U3-78_3,6656900.71,160767.91,U3-78_3,Grab sample,2018-05-16,17
U3-79_3,6656900.64,160768.85,U3-79_3,Grab sample,2018-05-16,17
U3-80_3,6656900.89,160769.77,U3-80_3,Grab sample,2018-05-16,19
U3-81_3,6656900.935,160770.69,U3-81_3,Grab sample,2018-05-16,21
U3-82_3,6656901.062,160771.6,U3-82_3,Grab sample,2018-05-16,19
U3-83_3,6656901.018,160772.489,U3-83_3,Grab sample,2018-05-16,19
U3-84_3,6656900.968,160773.439,U3-84_3,Grab sample,2018-05-16,19
U3-85_3,6656900.928,160774.389,U3-85_3,Grab sample,2018-05-16,19
U3-86_3,6656900.818,160775.329,U3-86_3,Grab sample,2018-05-16,20
U3-87_3,6656900.598,160776.259,U3-87_3,Grab sample,2018-05-16,18
U3-88_3,6656900.378,160777.179,U3-88_3,Grab sample,2018-05-16,17
U3-89_3,6656900.148,160778.099,U3-89_3,Grab sample,2018-05-16,17
U3-90_3,6656899.878,160779.009,U3-90_3,Grab sample,2018-05-16,18
U3-91_3,6656899.663,160779.818,U3-91_3,Grab sample,2018-05-16,18
U3-92_3,6656899.315,160780.75,U3-92_3,Grab sample,2018-05-16,19
U3-93_3,6656899.1,160781.6,U3-93_3,Grab sample,2018-05-16,19
U3-94_3,6656898.68,160782.45,U3-94_3,Grab sample,2018-05-16,16
U3-95_3,6656898.26,160783.3,U3-95_3,Grab sample,2018-05-16,16
U3-96_3,6656897.84,160784.15,U3-96_3,Grab sample,2018-05-16,16
U3-97_3,6656897.64,160785.07,U3-97_3,Grab sample,2018-05-16,18
U3-98_3,6656897.448,160785.979,U3-98_3,Grab sample,2018-05-16,14
U3-99_3,6656897.287,160786.919,U3-99_3,Grab sample,2018-05-16,17
U3-00_3,6656905.766,160765.0672,U3-00_3,Grab sample,2018-05-15,35
U3-01_3,6656905.756,160765.7572,U3-01_3,Grab sample,2018-05-15,55
U3-02_3,6656905.746,160766.7572,U3-02_3,Grab sample,2018-05-15,56
U3-03_3,6656905.726,160767.7572,U3-03_3,Grab sample,2018-05-15,44
U3-04_3,6656905.716,160768.7572,U3-04_3,Grab sample,2018-05-15,54
U3-05_3,6656905.942,160769.6341,U3-05_3,Grab sample,2018-05-15,57
U3-06_3,6656906.096,160770.7161,U3-06_3,Grab sample,2018-05-15,49
U3-07_3,6656906.323,160771.6341,U3-07_3,Grab sample,2018-05-15,57
U3-08_3,6656906.316,160772.46,U3-08_3,Grab sample,2018-05-15,33
U3-09_3,6656906.186,160773.46,U3-09_3,Grab sample,2018-05-15,28
U3-10_3,6656906.006,160774.43,U3-10_3,Grab sample,2018-05-15,240
U3-11_3,6656905.783,160775.29,U3-11_3,Grab sample,2018-05-15,56
U3-12_3,6656905.56,160776.15,U3-12_3,Grab sample,2018-05-15,52
U3-13_3,6656905.296,160777.092,U3-13_3,Grab sample,2018-05-15,52
U3-14_3,6656904.786,160777.952,U3-14_3,Grab sample,2018-05-15,64
U3-15_3,6656904.635,160778.8941,U3-15_3,Grab sample,2018-05-15,81
U3-16_3,6656904.315,160779.8341,U3-16_3,Grab sample,2018-05-15,86
U3-17_3,6656904.005,160780.7841,U3-17_3,Grab sample,2018-05-15,280
U3-18_3,6656903.49,160781.7341,U3-18_3,Grab sample,2018-05-15,24
U3-19_3,6656903.18,160782.6841,U3-19_3,Grab sample,2018-05-15,40
U3-20_3,6656902.87,160783.6341,U3-20_3,Grab sample,2018-05-15,27
U3-21_3,6656902.56,160784.5841,U3-21_3,Grab sample,2018-05-15,34
U3-22_3,6656902.33,160785.5641,U3-22_3,Grab sample,2018-05-15,35
U3-23_3,6656902.11,160786.5341,U3-23_3,Grab sample,2018-05-15,36
U3-24_3,6656901.9,160787.5141,U3-24_3,Grab sample,2018-05-15,37
U3-25_3,6656901.639,160788.4941,U3-25_3,Grab sample,2018-05-15,36
U3-26_3,6656901.296,160789.382,U3-26_3,Grab sample,2018-05-15,42
U3-27_3,6656900.84,160790.28,U3-27_3,Grab sample,2018-05-15,50
U3-28_3,6656900.62,160791.26,U3-28_3,Grab sample,2018-05-15,180
U3-29_3,6656900.44,160792.24,U3-29_3,Grab sample,2018-05-15,790
U3-30_3,6656900.178,160793.138,U3-30_3,Grab sample,2018-05-15,87
U3-31_3,6656899.803,160794.128,U3-31_3,Grab sample,2018-05-15,73
U3-32_3,6656899.623,160795.108,U3-32_3,Grab sample,2018-05-15,33
U3-33_3,6656899.361,160796.0159,U3-33_3,Grab sample,2018-05-15,15
U3-34_3,6656899.099,160797.078,U3-34_3,Grab sample,2018-05-15,14
U3-35_3,6656898.715,160798.058,U3-35_3,Grab sample,2018-05-15,14
U3-36_3,6656898.505,160799.028,U3-36_3,Grab sample,2018-05-15,13
U3-37_3,6656898.285,160800.008,U3-37_3,Grab sample,2018-05-15,13
U3-38_3,6656898.075,160800.978,U3-38_3,Grab sample,2018-05-15,17
U3-39_3,6656897.855,160801.958,U3-39_3,Grab sample,2018-05-15,18
U3-01_2,6656902.653,160765.1552,U3-01_2,Grab sample,2018-03-19,38
U3-02_2,6656905.587,160765.0168,U3-02_2,Grab sample,2018-03-19,59
U3-03_2,6656901.816,160765.6043,U3-03_2,Grab sample,2018-03-19,37
U3-04_2,6656905.461,160766.0087,U3-04_2,Grab sample,2018-03-19,89
U3-05_2,6656900.979,160766.0535,U3-05_2,Grab sample,2018-03-19,35
U3-06_2,6656905.334,160767.0007,U3-06_2,Grab sample,2018-03-19,89
U3-07_2,6656900.825,160766.972,U3-07_2,Grab sample,2018-03-19,32
U3-08_2,6656905.481,160767.9805,U3-08_2,Grab sample,2018-03-19,47
U3-09_2,6656900.705,160767.9145,U3-09_2,Grab sample,2018-03-19,32
U3-10_2,6656905.695,160768.9573,U3-10_2,Grab sample,2018-03-19,83
U3-11_2,6656900.643,160768.8529,U3-11_2,Grab sample,2018-03-19,34
U3-118_2,6656908.19,160773.26,U3-118_2,Grab sample,2018-03-19,370
U3-119_2,6656891.657,160805.4276,U3-119_2,Grab sample,2018-03-19,23
U3-12_2,6656905.909,160769.9341,U3-12_2,Grab sample,2018-03-19,110
U3-120_2,6656895.092,160808.571,U3-120_2,Grab sample,2018-03-19,20
U3-121_2,6656890.015,160806.3851,U3-121_2,Grab sample,2018-03-19,26
U3-122_2,6656893.642,160809.9485,U3-122_2,Grab sample,2018-03-19,25
U3-123_2,6656888.846,160807.8776,U3-123_2,Grab sample,2018-03-19,27
U3-124_2,6656892.192,160811.326,U3-124_2,Grab sample,2018-03-19,22
U3-125_2,6656887.689,160809.3852,U3-125_2,Grab sample,2018-03-19,31
U3-126_2,6656890.719,160812.6784,U3-126_2,Grab sample,2018-03-19,24
U3-127_2,6656886.525,160810.8856,U3-127_2,Grab sample,2018-03-19,26
U3-128_2,6656889.241,160814.0255,U3-128_2,Grab sample,2018-03-19,19
U3-129_2,6656885.179,160812.2263,U3-129_2,Grab sample,2018-03-19,32
U3-13_2,6656900.892,160769.7697,U3-13_2,Grab sample,2018-03-19,33
U3-130_2,6656887.685,160815.2775,U3-130_2,Grab sample,2018-03-19,21
U3-131_2,6656883.832,160813.5671,U3-131_2,Grab sample,2018-03-19,20
U3-132_2,6656886.073,160816.4616,U3-132_2,Grab sample,2018-03-19,20
U3-133_2,6656882.31,160814.6768,U3-133_2,Grab sample,2018-03-19,28
U3-134_2,6656884.461,160817.6457,U3-134_2,Grab sample,2018-03-19,19
U3-135_2,6656880.659,160815.6156,U3-135_2,Grab sample,2018-03-19,29
U3-136_2,6656882.841,160818.8162,U3-136_2,Grab sample,2018-03-19,24
U3-137_2,6656878.956,160816.4564,U3-137_2,Grab sample,2018-03-19,28
U3-138_2,6656881.059,160819.7237,U3-138_2,Grab sample,2018-03-19,22
U3-139_2,6656877.238,160817.2675,U3-139_2,Grab sample,2018-03-19,23
U3-14_2,6656906.123,160770.9109,U3-14_2,Grab sample,2018-03-19,120
U3-140_2,6656879.276,160820.6313,U3-140_2,Grab sample,2018-03-19,30
U3-141_2,6656875.52,160818.0786,U3-141_2,Grab sample,2018-03-19,21
U3-142_2,6656877.41,160821.3238,U3-142_2,Grab sample,2018-03-19,25
U3-143_2,6656873.801,160818.8897,U3-143_2,Grab sample,2018-03-19,20
U3-144_2,6656875.485,160821.8657,U3-144_2,Grab sample,2018-03-19,25
U3-145_2,6656872.084,160819.7026,U3-145_2,Grab sample,2018-03-19,22
U3-146_2,6656873.56,160822.4075,U3-146_2,Grab sample,2018-03-19,22
U3-147_2,6656870.666,160820.8859,U3-147_2,Grab sample,2018-03-19,21
U3-148_2,6656871.932,160823.3244,U3-148_2,Grab sample,2018-03-19,21
U3-149_2,6656869.51,160822.394,U3-149_2,Grab sample,2018-03-19,21
U3-15_2,6656901.141,160770.6865,U3-15_2,Grab sample,2018-03-19,34
U3-150_2,6656870.983,160825.0782,U3-150_2,Grab sample,2018-03-19,20
U3-16_2,6656906.337,160771.8876,U3-16_2,Grab sample,2018-03-19,140
U3-17_2,6656901.39,160771.6033,U3-17_2,Grab sample,2018-03-19,35
U3-18_2,6656906.381,160772.8634,U3-18_2,Grab sample,2018-03-19,53
U3-19_2,6656901.505,160772.5349,U3-19_2,Grab sample,2018-03-19,34
U3-20_2,6656906.156,160773.8376,U3-20_2,Grab sample,2018-03-19,59
U3-21_2,6656901.465,160773.4841,U3-21_2,Grab sample,2018-03-19,30
U3-22_2,6656905.93,160774.8119,U3-22_2,Grab sample,2018-03-19,62
U3-23_2,6656901.424,160774.4332,U3-23_2,Grab sample,2018-03-19,17
U3-24_2,6656905.705,160775.7861,U3-24_2,Grab sample,2018-03-19,64
U3-25_2,6656901.314,160775.3725,U3-25_2,Grab sample,2018-03-19,30
U3-26_2,6656905.479,160776.7603,U3-26_2,Grab sample,2018-03-19,83
U3-27_2,6656901.09,160776.2956,U3-27_2,Grab sample,2018-03-19,33
U3-28_2,6656905.158,160777.7064,U3-28_2,Grab sample,2018-03-19,100
U3-29_2,6656900.865,160777.2187,U3-29_2,Grab sample,2018-03-19,30
U3-30_2,6656904.821,160778.6481,U3-30_2,Grab sample,2018-03-19,140
U3-31_2,6656900.64,160778.1417,U3-31_2,Grab sample,2018-03-19,32
U3-32_2,6656904.485,160779.5898,U3-32_2,Grab sample,2018-03-19,59
U3-33_2,6656900.367,160779.047,U3-33_2,Grab sample,2018-03-19,29
U3-34_2,6656904.148,160780.5314,U3-34_2,Grab sample,2018-03-19,46
U3-35_2,6656899.945,160779.8983,U3-35_2,Grab sample,2018-03-19,31
U3-36_2,6656903.811,160781.4731,U3-36_2,Grab sample,2018-03-19,43
U3-37_2,6656899.523,160780.7495,U3-37_2,Grab sample,2018-03-19,32
U3-38_2,6656903.475,160782.4148,U3-38_2,Grab sample,2018-03-19,15
U3-39_2,6656899.102,160781.6008,U3-39_2,Grab sample,2018-03-19,32
U3-40_2,6656903.166,160783.3658,U3-40_2,Grab sample,2018-03-19,38
U3-41_2,6656898.68,160782.4521,U3-41_2,Grab sample,2018-03-19,30
U3-42_2,6656902.86,160784.3177,U3-42_2,Grab sample,2018-03-19,28
U3-43_2,6656898.258,160783.3034,U3-43_2,Grab sample,2018-03-19,31
U3-44_2,6656902.553,160785.2697,U3-44_2,Grab sample,2018-03-19,83
U3-45_2,6656897.837,160784.1547,U3-45_2,Grab sample,2018-03-19,30
U3-46_2,6656902.247,160786.2216,U3-46_2,Grab sample,2018-03-19,52
U3-47_2,6656897.637,160785.0721,U3-47_2,Grab sample,2018-03-19,30
U3-48_2,6656901.941,160787.1736,U3-48_2,Grab sample,2018-03-19,38
U3-49_2,6656897.525,160786.0155,U3-49_2,Grab sample,2018-03-19,31
U3-50_2,6656901.652,160788.1306,U3-50_2,Grab sample,2018-03-19,33
U3-51_2,6656897.413,160786.9588,U3-51_2,Grab sample,2018-03-19,30
U3-52_2,6656901.396,160789.0972,U3-52_2,Grab sample,2018-03-19,40
U3-53_2,6656897.301,160787.9021,U3-53_2,Grab sample,2018-03-19,28
U3-54_2,6656901.14,160790.0639,U3-54_2,Grab sample,2018-03-19,45
U3-55_2,6656897.188,160788.8455,U3-55_2,Grab sample,2018-03-19,29
U3-56_2,6656900.884,160791.0305,U3-56_2,Grab sample,2018-03-19,73
U3-57_2,6656897.076,160789.7888,U3-57_2,Grab sample,2018-03-19,15
U3-58_2,6656900.627,160791.9972,U3-58_2,Grab sample,2018-03-19,60
U3-59_2,6656896.964,160790.7321,U3-59_2,Grab sample,2018-03-19,29
U3-60_2,6656900.351,160792.9577,U3-60_2,Grab sample,2018-03-19,76
U3-61_2,6656896.851,160791.6755,U3-61_2,Grab sample,2018-03-19,21
U3-62_2,6656900.018,160793.9006,U3-62_2,Grab sample,2018-03-19,59
U3-63_2,6656896.739,160792.6188,U3-63_2,Grab sample,2018-03-19,27
U3-64_2,6656899.685,160794.8435,U3-64_2,Grab sample,2018-03-19,29
U3-65_2,6656896.627,160793.5622,U3-65_2,Grab sample,2018-03-19,24
U3-66_2,6656899.352,160795.7864,U3-66_2,Grab sample,2018-03-19,43
U3-67_2,6656896.514,160794.5055,U3-67_2,Grab sample,2018-03-19,31
U3-68_2,6656899.019,160796.7293,U3-68_2,Grab sample,2018-03-19,24
U3-69_2,6656896.265,160795.4129,U3-69_2,Grab sample,2018-03-19,28
U3-70_2,6656898.686,160797.6722,U3-70_2,Grab sample,2018-03-19,24
U3-71_2,6656895.901,160796.2905,U3-71_2,Grab sample,2018-03-19,26
U3-72_2,6656898.353,160798.6151,U3-72_2,Grab sample,2018-03-19,29
U3-73_2,6656895.537,160797.1681,U3-73_2,Grab sample,2018-03-19,18
U3-74_2,6656898.02,160799.558,U3-74_2,Grab sample,2018-03-19,20
U3-75_2,6656895.174,160798.0457,U3-75_2,Grab sample,2018-03-19,32
U3-76_2,6656897.687,160800.5009,U3-76_2,Grab sample,2018-03-19,23
U3-77_2,6656894.81,160798.9234,U3-77_2,Grab sample,2018-03-19,31
U3-78_2,6656897.411,160801.4552,U3-78_2,Grab sample,2018-03-19,29
U3-79_2,6656894.446,160799.801,U3-79_2,Grab sample,2018-03-19,31
U3-80_2,6656897.358,160802.4538,U3-80_2,Grab sample,2018-03-19,25
U3-81_2,6656894.082,160800.6786,U3-81_2,Grab sample,2018-03-19,37
U3-82_2,6656897.304,160803.4523,U3-82_2,Grab sample,2018-03-19,26
U3-83_2,6656893.765,160801.5709,U3-83_2,Grab sample,2018-03-19,25
U3-84_2,6656897.251,160804.4509,U3-84_2,Grab sample,2018-03-19,24
U3-85_2,6656893.555,160802.4974,U3-85_2,Grab sample,2018-03-19,22
U3-86_2,6656897.198,160805.4495,U3-86_2,Grab sample,2018-03-19,23
U3-87_2,6656893.344,160803.4238,U3-87_2,Grab sample,2018-03-19,21
U3-88_2,6656897.145,160806.4481,U3-88_2,Grab sample,2018-03-19,20
U3-89_2,6656893.134,160804.3503,U3-89_2,Grab sample,2018-03-19,22
U3-90_2,6656896.542,160807.1935,U3-90_2,Grab sample,2018-03-19,19
NI17-Ö4,6656901.717,160989.8049,NI17-Ö4 30/8/17,Grab sample,2017-08-30,9.6
NI15-Ö29,6656868.85,161021.5,NI15-Ö29,Grab sample,2017-08-29,11
NI15-Ö30,6656897.07,160993.06,NI15-Ö30 29/8/17,Grab sample,2017-08-29,11
NI15-Ö31,6656924.63,160946.14,NI15-Ö31,Grab sample,2017-08-29,17
NI15-Ö32,6656942.37,160935.27,NI15-Ö32,Grab sample,2017-08-29,19
NI15-Ö33,6656943.166,160907.726,NI15-Ö33,Grab sample,2017-08-29,18
NI15-Ö34,6656930.75,160894.85,NI15-Ö34,Grab sample,2017-08-29,140
NI15-Ö35,6656923.22,160897.84,NI15-Ö35,Grab sample,2017-08-29,18
NI15-Ö37,6656871.72,160821.78,NI15-Ö37,Grab sample,2017-08-29,23
NI15-Ö38,6656895.12,160805.24,NI15-Ö38,Grab sample,2017-08-29,29
NI15-Ö39,6656903.98,160767.87,NI15-Ö39,Grab sample,2017-08-29,22
NI15-Ö40,6656920.487,160783.535,NI15-Ö40,Grab sample,2017-08-29,420
NI15-Ö41,6656921.408,160795.945,NI15-Ö41,Grab sample,2017-08-29,1500
NI15-Ö42A,6656904.5,160780.6,NI15-Ö42A,Grab sample,2017-08-29,580
NI15-Ö43,6656903.398,160674.984,NI15-Ö43,Grab sample,2017-08-29,38
NI16-Ö13,6656916.13,160986.1,NI16-Ö13,Grab sample,2017-08-29,50
NI17-Ö1,6656871.143,161006.4181,NI17-Ö1,Grab sample,2017-08-29,12
NI17-Ö10,6656901.717,160779.4564,NI17-Ö10,Grab sample,2017-08-29,30
NI17-Ö11,6656908.825,160772.9705,NI17-Ö11,Grab sample,2017-08-29,320
NI17-Ö12,6656915.666,160778.1237,NI17-Ö12,Grab sample,2017-08-29,440
NI17-Ö13,6656921.352,160788.3412,NI17-Ö13,Grab sample,2017-08-29,1200
NI17-Ö14,6656907.226,160727.3024,NI17-Ö14,Grab sample,2017-08-29,21
NI17-Ö15,6656889.189,160629.4803,NI17-Ö15,Grab sample,2017-08-29,37
NI17-Ö2,6656876.928,160994.6916,NI17-Ö2,Grab sample,2017-08-29,13
