 point             x              y              z          zone  nugget  sill            a_hmax         a_hmin         a_vert        ang1      ang2      ang3
 PPC0096        427200.000    6654740.000        131.751       1   0.0    1.0                  28.800         28.800          6.727   0.0       0.0       0.0
 PPC0097        427200.000    6654770.000        131.240       1   0.0    1.0                  28.800         28.800          5.978   0.0       0.0       0.0
 PPC0098        427200.000    6654800.000        131.638       1   0.0    1.0                  28.800         28.800          6.058   0.0       0.0       0.0
 PPC0099        427200.000    6654830.000        132.394       1   0.0    1.0                  28.800         28.800          6.218   0.0       0.0       0.0
 PPC0100        427200.000    6654860.000        134.826       1   0.0    1.0                  28.800         28.800          7.304   0.0       0.0       0.0
 PPC0101        427200.000    6654890.000        136.663       1   0.0    1.0                  28.800         28.800          8.111   0.0       0.0       0.0
 PPC0102        427200.000    6654920.000        132.832       1   0.0    1.0                  28.800         28.800          5.115   0.0       0.0       0.0
 PPC0103        427200.000    6654950.000        131.853       1   0.0    1.0                  28.800         28.800          4.359   0.0       0.0       0.0
 PPC0104        427200.000    6654980.000        134.977       1   0.0    1.0                  28.800         28.800          6.841   0.0       0.0       0.0
 PPC0105        427200.000    6655010.000        136.117       1   0.0    1.0                  28.800         28.800          7.207   0.0       0.0       0.0
 PPC0106        427200.000    6655040.000        137.048       1   0.0    1.0                  28.800         28.800          7.449   0.0       0.0       0.0
 PPC0107        427200.000    6655070.000        137.650       1   0.0    1.0                  31.782         31.782          8.457   0.0       0.0       0.0
 PPC0108        427230.000    6654710.000        134.540       1   0.0    1.0                  28.800         28.800         10.282   0.0       0.0       0.0
 PPC0109        427230.000    6654740.000        133.223       1   0.0    1.0                  28.800         28.800          7.277   0.0       0.0       0.0
 PPC0110        427230.000    6654770.000        132.311       1   0.0    1.0                  28.800         28.800          6.566   0.0       0.0       0.0
 PPC0111        427230.000    6654800.000        132.505       1   0.0    1.0                  28.800         28.800          6.302   0.0       0.0       0.0
 PPC0112        427230.000    6654830.000        133.236       1   0.0    1.0                  28.800         28.800          6.517   0.0       0.0       0.0
 PPC0113        427230.000    6654860.000        136.270       1   0.0    1.0                  28.800         28.800          7.801   0.0       0.0       0.0
 PPC0114        427230.000    6654890.000        137.799       1   0.0    1.0                  28.800         28.800          8.415   0.0       0.0       0.0
 PPC0115        427230.000    6654920.000        132.430       1   0.0    1.0                  28.800         28.800          4.362   0.0       0.0       0.0
 PPC0116        427230.000    6654950.000        132.532       1   0.0    1.0                  28.800         28.800          4.542   0.0       0.0       0.0
 PPC0117        427230.000    6654980.000        135.854       1   0.0    1.0                  28.800         28.800          7.567   0.0       0.0       0.0
 PPC0118        427230.000    6655010.000        136.963       1   0.0    1.0                  28.800         28.800          7.581   0.0       0.0       0.0
 PPC0119        427230.000    6655040.000        137.886       1   0.0    1.0                  28.800         28.800          7.722   0.0       0.0       0.0
 PPC0120        427230.000    6655070.000        138.466       1   0.0    1.0                  28.800         28.800          7.542   0.0       0.0       0.0
 PPC0121        427230.000    6655100.000        139.438       1   0.0    1.0                  31.782         31.782          8.369   0.0       0.0       0.0
 PPC0122        427260.000    6654710.000        134.328       1   0.0    1.0                  28.800         28.800          9.234   0.0       0.0       0.0
 PPC0123        427260.000    6654740.000        133.162       1   0.0    1.0                  28.800         28.800          6.481   0.0       0.0       0.0
 PPC0124        427260.000    6654770.000        133.866       1   0.0    1.0                  28.800         28.800          6.904   0.0       0.0       0.0
 PPC0125        427260.000    6654800.000        133.802       1   0.0    1.0                  28.800         28.800          6.512   0.0       0.0       0.0
 PPC0126        427260.000    6654830.000        135.958       1   0.0    1.0                  28.800         28.800          7.423   0.0       0.0       0.0
 PPC0127        427260.000    6654860.000        138.072       1   0.0    1.0                  28.800         28.800          7.693   0.0       0.0       0.0
 PPC0128        427260.000    6654890.000        138.258       1   0.0    1.0                  28.800         28.800          7.845   0.0       0.0       0.0
 PPC0129        427260.000    6654920.000        132.949       1   0.0    1.0                  28.800         28.800          4.903   0.0       0.0       0.0
 PPC0130        427260.000    6654950.000        132.011       1   0.0    1.0                  28.800         28.800          4.151   0.0       0.0       0.0
 PPC0131        427260.000    6654980.000        133.214       1   0.0    1.0                  28.800         28.800          6.004   0.0       0.0       0.0
 PPC0132        427260.000    6655010.000        136.616       1   0.0    1.0                  28.800         28.800          7.909   0.0       0.0       0.0
 PPC0133        427260.000    6655040.000        138.012       1   0.0    1.0                  28.800         28.800          7.719   0.0       0.0       0.0
 PPC0134        427260.000    6655070.000        139.410       1   0.0    1.0                  28.800         28.800          7.703   0.0       0.0       0.0
 PPC0135        427260.000    6655100.000        140.390       1   0.0    1.0                  28.800         28.800          7.259   0.0       0.0       0.0
 PPC0136        427260.000    6655130.000        141.215       1   0.0    1.0                  31.782         31.782          7.805   0.0       0.0       0.0
 PPC0137        427290.000    6654710.000        136.733       1   0.0    1.0                  28.800         28.800          9.617   0.0       0.0       0.0
 PPC0138        427290.000    6654740.000        136.807       1   0.0    1.0                  28.800         28.800          7.562   0.0       0.0       0.0
 PPC0139        427290.000    6654770.000        136.759       1   0.0    1.0                  28.800         28.800          7.215   0.0       0.0       0.0
 PPC0140        427290.000    6654800.000        137.368       1   0.0    1.0                  28.800         28.800          7.150   0.0       0.0       0.0
 PPC0141        427290.000    6654830.000        138.384       1   0.0    1.0                  28.800         28.800          6.877   0.0       0.0       0.0
 PPC0142        427290.000    6654860.000        139.356       1   0.0    1.0                  28.800         28.800          6.945   0.0       0.0       0.0
 PPC0143        427290.000    6654890.000        138.481       1   0.0    1.0                  28.800         28.800          6.633   0.0       0.0       0.0
 PPC0144        427290.000    6654920.000        136.467       1   0.0    1.0                  28.800         28.800          7.094   0.0       0.0       0.0
 PPC0145        427290.000    6654950.000        132.980       1   0.0    1.0                  28.800         28.800          5.497   0.0       0.0       0.0
 PPC0146        427290.000    6654980.000        131.808       1   0.0    1.0                  28.800         28.800          5.157   0.0       0.0       0.0
 PPC0147        427290.000    6655010.000        135.593       1   0.0    1.0                  28.800         28.800          7.740   0.0       0.0       0.0
 PPC0148        427290.000    6655040.000        138.611       1   0.0    1.0                  28.800         28.800          8.264   0.0       0.0       0.0
 PPC0149        427290.000    6655070.000        139.884       1   0.0    1.0                  28.800         28.800          7.567   0.0       0.0       0.0
 PPC0150        427290.000    6655100.000        141.108       1   0.0    1.0                  28.800         28.800          7.217   0.0       0.0       0.0
 PPC0151        427290.000    6655130.000        142.170       1   0.0    1.0                  28.800         28.800          6.938   0.0       0.0       0.0
 PPC0152        427290.000    6655160.000        142.872       1   0.0    1.0                  31.782         31.782          7.590   0.0       0.0       0.0
 PPC0153        427320.000    6654710.000        139.707       1   0.0    1.0                  28.800         28.800          9.634   0.0       0.0       0.0
 PPC0154        427320.000    6654740.000        139.956       1   0.0    1.0                  28.800         28.800          7.150   0.0       0.0       0.0
 PPC0155        427320.000    6654770.000        140.557       1   0.0    1.0                  28.800         28.800          7.210   0.0       0.0       0.0
 PPC0156        427320.000    6654800.000        140.659       1   0.0    1.0                  28.800         28.800          6.692   0.0       0.0       0.0
 PPC0157        427320.000    6654830.000        140.682       1   0.0    1.0                  28.800         28.800          6.379   0.0       0.0       0.0
 PPC0158        427320.000    6654860.000        139.959       1   0.0    1.0                  28.800         28.800          5.823   0.0       0.0       0.0
 PPC0159        427320.000    6654890.000        138.690       1   0.0    1.0                  28.800         28.800          5.673   0.0       0.0       0.0
 PPC0160        427320.000    6654920.000        137.496       1   0.0    1.0                  28.800         28.800          6.608   0.0       0.0       0.0
 PPC0161        427320.000    6654950.000        135.186       1   0.0    1.0                  28.800         28.800          7.070   0.0       0.0       0.0
 PPC0162        427320.000    6654980.000        131.904       1   0.0    1.0                  28.800         28.800          5.120   0.0       0.0       0.0
 PPC0163        427320.000    6655010.000        134.019       1   0.0    1.0                  28.800         28.800          6.639   0.0       0.0       0.0
 PPC0164        427320.000    6655040.000        138.709       1   0.0    1.0                  28.800         28.800          8.309   0.0       0.0       0.0
 PPC0165        427320.000    6655070.000        140.064       1   0.0    1.0                  28.800         28.800          7.618   0.0       0.0       0.0
 PPC0166        427320.000    6655100.000        141.673       1   0.0    1.0                  28.800         28.800          7.449   0.0       0.0       0.0
 PPC0167        427320.000    6655130.000        142.806       1   0.0    1.0                  28.800         28.800          6.950   0.0       0.0       0.0
 PPC0168        427320.000    6655160.000        143.373       1   0.0    1.0                  28.800         28.800          6.687   0.0       0.0       0.0
 PPC0169        427320.000    6655190.000        143.864       1   0.0    1.0                  31.782         31.782          7.517   0.0       0.0       0.0
 PPC0170        427350.000    6654710.000        142.399       1   0.0    1.0                  31.782         31.782          8.502   0.0       0.0       0.0
 PPC0171        427350.000    6654740.000        142.290       1   0.0    1.0                  28.800         28.800          6.274   0.0       0.0       0.0
 PPC0172        427350.000    6654770.000        142.677       1   0.0    1.0                  28.800         28.800          5.789   0.0       0.0       0.0
 PPC0173        427350.000    6654800.000        142.555       1   0.0    1.0                  28.800         28.800          6.085   0.0       0.0       0.0
 PPC0174        427350.000    6654830.000        141.968       1   0.0    1.0                  28.800         28.800          5.997   0.0       0.0       0.0
 PPC0175        427350.000    6654860.000        141.222       1   0.0    1.0                  28.800         28.800          6.052   0.0       0.0       0.0
