obsnme,obsval,weight,obgnme
hds_usecol:ni1605b-3_time:1.0,136.7984093,1.0,hds_usecol:ni1605b-3
hds_usecol:ni1606-1_time:1.0,134.4726765,1.0,hds_usecol:ni1606-1
hds_usecol:ni1606-2_time:1.0,134.5096936,1.0,hds_usecol:ni1606-2
hds_usecol:ni1606-3_time:1.0,134.5145228,1.0,hds_usecol:ni1606-3
hds_usecol:ni1607-1_time:1.0,135.3472702,1.0,hds_usecol:ni1607-1
hds_usecol:ni1607-2_time:1.0,135.3369154,1.0,hds_usecol:ni1607-2
hds_usecol:ni1607-3_time:1.0,135.3361265,1.0,hds_usecol:ni1607-3
hds_usecol:ni1608-1_time:1.0,135.1682634,1.0,hds_usecol:ni1608-1
hds_usecol:ni1608-2_time:1.0,135.2026109,1.0,hds_usecol:ni1608-2
hds_usecol:ni1608-3_time:1.0,135.210855,1.0,hds_usecol:ni1608-3
hds_usecol:ni1609-2_time:1.0,135.3018061,1.0,hds_usecol:ni1609-2
hds_usecol:ni1609-3_time:1.0,135.298328,1.0,hds_usecol:ni1609-3
hds_usecol:ni1610-2_time:1.0,135.3225708,1.0,hds_usecol:ni1610-2
hds_usecol:ni1611-1_time:1.0,135.4561848,1.0,hds_usecol:ni1611-1
hds_usecol:ni1612-1_time:1.0,135.0194567,1.0,hds_usecol:ni1612-1
hds_usecol:ni1612-2_time:1.0,135.0922566,1.0,hds_usecol:ni1612-2
hds_usecol:ni1613-1_time:1.0,135.056928,1.0,hds_usecol:ni1613-1
hds_usecol:ni1701-1_time:1.0,135.4820298,1.0,hds_usecol:ni1701-1
hds_usecol:ni1702-1_time:1.0,135.4767806,1.0,hds_usecol:ni1702-1
hds_usecol:ni1703-1_time:1.0,135.4377408,1.0,hds_usecol:ni1703-1
hds_usecol:ni1703-2_time:1.0,135.4174307,1.0,hds_usecol:ni1703-2
hds_usecol:ni1704-1_time:1.0,133.9194846,1.0,hds_usecol:ni1704-1
hds_usecol:ni1704-2_time:1.0,133.9133428,1.0,hds_usecol:ni1704-2
hds_usecol:ni1705-1_time:1.0,134.0808029,1.0,hds_usecol:ni1705-1
hds_usecol:ni1705-2_time:1.0,134.0626248,1.0,hds_usecol:ni1705-2
hds_usecol:ni1706-1_time:1.0,134.1560991,1.0,hds_usecol:ni1706-1
hds_usecol:ni1706-2_time:1.0,134.1571883,1.0,hds_usecol:ni1706-2
hds_usecol:ni1707-1_time:1.0,134.0445787,1.0,hds_usecol:ni1707-1
hds_usecol:ni1708-1_time:1.0,136.2735324,1.0,hds_usecol:ni1708-1
