,sidx,idx_strs,pargp9,parval1_9,9
54,"(116, 0, 167, 296)",idx0:116_idx1:0_idx2:167_idx3:296,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
55,"(632, 0, 31, 92)",idx0:632_idx1:0_idx2:31_idx3:92,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000000
56,"(492, 0, 100, 158)",idx0:492_idx1:0_idx2:100_idx3:158,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
57,"(387, 0, 112, 215)",idx0:387_idx1:0_idx2:112_idx3:215,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
58,"(404, 0, 122, 210)",idx0:404_idx1:0_idx2:122_idx3:210,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
59,"(0, 0, 176, 379)",idx0:0_idx1:0_idx2:176_idx3:379,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000000
60,"(63, 0, 159, 337)",idx0:63_idx1:0_idx2:159_idx3:337,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
61,"(473, 0, 114, 158)",idx0:473_idx1:0_idx2:114_idx3:158,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
62,"(168, 0, 190, 269)",idx0:168_idx1:0_idx2:190_idx3:269,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
63,"(654, 0, 21, 80)",idx0:654_idx1:0_idx2:21_idx3:80,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000000
64,"(593, 0, 44, 117)",idx0:593_idx1:0_idx2:44_idx3:117,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
65,"(49, 0, 162, 348)",idx0:49_idx1:0_idx2:162_idx3:348,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
66,"(623, 0, 35, 96)",idx0:623_idx1:0_idx2:35_idx3:96,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000000
67,"(24, 0, 168, 363)",idx0:24_idx1:0_idx2:168_idx3:363,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
68,"(103, 0, 165, 306)",idx0:103_idx1:0_idx2:165_idx3:306,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
69,"(213, 0, 197, 237)",idx0:213_idx1:0_idx2:197_idx3:237,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
70,"(173, 0, 191, 266)",idx0:173_idx1:0_idx2:191_idx3:266,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000000
71,"(674, 0, 11, 70)",idx0:674_idx1:0_idx2:11_idx3:70,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000000
72,"(565, 0, 57, 131)",idx0:565_idx1:0_idx2:57_idx3:131,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
