  days  vol_upper      vol_lower      vol_drain      vol_macro      del_vol_upper  del_vol_lower  del_vol_drain  del_vol_macro  rainfall       irrigation     drain_upper    macro_upper    drain_lower    overflow_lower total_rech     gw_withdrawal  net_recharge   runoff         pot_evap_upper evap_upper     pot_evap_lower evap_lower     gw_pot_evap    balance        elevation      depth-to-water 
   790  2.2407613E-02   0.000000      3.2507874E-03   0.000000     -1.1798186E-02   0.000000     -8.5600189E-03   0.000000      1.3800000E-02   0.000000      3.4013751E-02   0.000000       0.000000       0.000000      3.4013751E-02   0.000000      3.4013751E-02   0.000000      2.9000000E-03  1.4445430E-04   0.000000       0.000000      2.7555457E-03  1.3877788E-17   138.1823       61.81773    
   821  1.8947179E-02   0.000000      1.6175057E-03   0.000000     -3.4604344E-03   0.000000     -1.6332817E-03   0.000000      1.5300000E-02   0.000000      2.0221367E-02   0.000000       0.000000       0.000000      2.0221367E-02   0.000000      2.0221367E-02   0.000000      3.8000000E-03  1.7234886E-04   0.000000       0.000000      3.6276511E-03 -2.2334565E-17   138.0756       61.92440    
   851  2.9621962E-02   0.000000      5.6506185E-03   0.000000      1.0674783E-02   0.000000      4.0331127E-03   0.000000      5.1500000E-02   0.000000      3.5182686E-02   0.000000       0.000000       0.000000      3.5182686E-02   0.000000      3.5182686E-02   0.000000      3.0400000E-02  1.6094177E-03   0.000000       0.000000      2.8790582E-02  1.4745150E-17   138.4062       61.59379    
   882  1.7157191E-02   0.000000      1.0244087E-03   0.000000     -1.2464771E-02   0.000000     -4.6262097E-03   0.000000      2.1200000E-02   0.000000      3.5223318E-02   0.000000       0.000000       0.000000      3.5223318E-02   0.000000      3.5223318E-02   0.000000      6.3000000E-02  3.0676621E-03   0.000000       0.000000      5.9932338E-02 -5.2041704E-18   138.0206       61.97940    
   912  2.1299565E-02   0.000000      3.2508782E-03   0.000000      4.1423739E-03   0.000000      2.2264695E-03   0.000000      6.5900000E-02   0.000000      5.6688817E-02   0.000000       0.000000       0.000000      5.6688817E-02   0.000000      5.6688817E-02   0.000000      5.8100000E-02  2.8423393E-03   0.000000       0.000000      5.5257661E-02  9.9746600E-18   138.1481       61.85194    
   943  3.3449189E-02   0.000000      2.2942074E-02   0.000000      1.2149623E-02   0.000000      1.9691196E-02   0.000000      4.5600000E-02   0.000000      1.1200698E-02   0.000000       0.000000       0.000000      1.1200698E-02   0.000000      1.1200698E-02   0.000000      5.9100000E-02  2.5584825E-03   0.000000       0.000000      5.6541517E-02 -1.0408341E-17   138.5259       61.47415    
   974  2.9877186E-02   0.000000      1.2347464E-02   0.000000     -3.5720027E-03   0.000000     -1.0594611E-02   0.000000      5.8600000E-02   0.000000      6.9787855E-02   0.000000       0.000000       0.000000      6.9787855E-02   0.000000      6.9787855E-02   0.000000      5.0200000E-02  2.9787583E-03   0.000000       0.000000      4.7221242E-02  1.2143064E-17   138.4142       61.58583    
  1004  2.6760786E-02   0.000000      8.5990439E-03   0.000000     -3.1163996E-03   0.000000     -3.7484197E-03   0.000000      6.3500000E-02   0.000000      6.7747701E-02   0.000000       0.000000       0.000000      6.7747701E-02   0.000000      6.7747701E-02   0.000000      4.3600000E-02  2.6171186E-03   0.000000       0.000000      4.0982881E-02  1.3010426E-17   138.3171       61.68285    
  1035  3.6627003E-02   0.000000      1.1114970E-02   0.000000      9.8662166E-03   0.000000      2.5159260E-03   0.000000      4.8800000E-02   0.000000      3.5071365E-02   0.000000       0.000000       0.000000      3.5071365E-02   0.000000      3.5071365E-02   0.000000      2.5500000E-02  1.3464928E-03   0.000000       0.000000      2.4153507E-02  3.0357661E-18   138.6256       61.37436    
  1065  2.6236438E-02   0.000000      2.6141501E-03   0.000000     -1.0390564E-02   0.000000     -8.5008198E-03   0.000000      3.2800000E-02   0.000000      5.0762954E-02   0.000000       0.000000       0.000000      5.0762954E-02   0.000000      5.0762954E-02   0.000000      1.7400000E-02  9.2843010E-04   0.000000       0.000000      1.6471570E-02 -6.9388939E-18   138.3009       61.69914    
