datetime,stage
2016-02-18 12:00,136.07
2016-02-18 16:00,136.08
2016-02-18 20:00,136.09
2016-02-19 00:00,136.09
2016-02-19 04:00,136.09
2016-02-19 08:00,136.08
2016-02-19 12:00,136.08
2016-02-19 16:00,136.07
2016-02-19 20:00,136.06
2016-02-20 00:00,136.07
2016-02-20 04:00,136.08
2016-02-20 08:00,136.06
2016-02-20 12:00,136.07
2016-02-20 16:00,136.07
2016-02-20 20:00,136.09
2016-02-21 00:00,136.06
2016-02-21 04:00,136.07
2016-02-21 08:00,136.07
2016-02-21 12:00,136.07
2016-02-21 16:00,136.08
2016-02-21 20:00,136.08
2016-02-22 00:00,136.07
2016-02-22 04:00,136.08
2016-02-22 08:00,136.07
2016-02-22 12:00,136.08
2016-02-22 16:00,136.08
2016-02-22 20:00,136.07
2016-02-23 00:00,136.05
2016-02-23 04:00,136.05
2016-02-23 08:00,136.07
2016-02-23 12:00,136.05
2016-02-23 16:00,136.06
2016-02-23 20:00,135.94
2016-02-24 00:00,136.1
2016-02-24 04:00,136.14
2016-02-24 08:00,136.21
2016-02-24 12:00,136.1
2016-02-24 16:00,136.12
2016-02-25 12:00,136.1
2016-02-25 16:00,136.1
2016-02-26 00:00,136.15
2016-02-26 04:00,136.12
2016-02-26 08:00,136
2016-02-26 12:00,136.11
2016-02-26 16:00,136.11
2016-02-27 08:00,135.96
2016-02-27 12:00,136.07
2016-02-27 16:00,136.1
2016-02-27 20:00,135.94
2016-02-28 00:00,136.09
2016-02-28 04:00,136.15
2016-02-28 08:00,136.16
2016-02-28 12:00,136.06
2016-02-28 16:00,136.07
2016-02-28 20:00,136.06
2016-02-29 00:00,136.03
2016-02-29 04:00,135.98
2016-02-29 08:00,135.94
2016-02-29 12:00,136.04
2016-02-29 16:00,136.06
2016-02-29 20:00,136.1
2016-03-01 12:00,136.08
2016-03-01 16:00,136.08
2016-03-01 20:00,135.91
2016-03-02 00:00,136.06
2016-03-02 04:00,136.09
2016-03-02 08:00,136.08
2016-03-02 12:00,136.07
2016-03-02 16:00,136.07
2016-03-02 20:00,136.07
2016-03-03 00:00,136.08
2016-03-03 04:00,136.07
2016-03-03 08:00,136.08
2016-03-03 12:00,136.08
2016-03-03 16:00,136.08
2016-03-03 20:00,136.06
2016-03-04 00:00,136.08
2016-03-04 04:00,136.06
2016-03-04 08:00,136.07
2016-03-04 12:00,136.08
2016-03-04 16:00,136.07
2016-03-04 20:00,136.08
2016-03-05 00:00,136.07
2016-03-05 04:00,136.08
2016-03-05 08:00,136.07
2016-03-05 12:00,136.08
2016-03-05 16:00,136.09
2016-03-05 20:00,136.08
2016-03-06 00:00,136.09
2016-03-06 04:00,136.08
2016-03-06 08:00,136.08
2016-03-06 12:00,136.08
2016-03-06 16:00,136.08
2016-03-06 20:00,136.07
2016-03-07 00:00,136.08
2016-03-07 04:00,136.09
2016-03-07 08:00,136.08
2016-03-07 12:00,136.08
2016-03-07 16:00,136.09
2016-03-07 20:00,136.09
2016-03-08 00:00,136.08
2016-03-08 04:00,136.07
2016-03-08 08:00,136.08
2016-03-08 12:00,136.08
2016-03-08 16:00,136.07
2016-03-08 20:00,136.08
2016-03-09 00:00,136.08
2016-03-09 04:00,136.09
2016-03-09 08:00,136.08
2016-03-09 12:00,136.07
2016-03-09 16:00,136.08
2016-03-09 20:00,136.07
2016-03-10 00:00,136.07
2016-03-10 04:00,136.08
2016-03-10 08:00,136.07
2016-03-10 12:00,136.06
2016-03-10 16:00,136.09
2016-03-10 20:00,136.08
2016-03-11 00:00,136.07
2016-03-11 04:00,136.07
2016-03-11 08:00,136.07
2016-03-11 12:00,136.06
2016-03-11 16:00,136.07
2016-03-11 20:00,136.06
2016-03-12 00:00,136.07
2016-03-12 12:00,136.07
2016-03-12 16:00,136.07
2016-03-12 20:00,136.06
2016-03-13 00:00,136.07
2016-03-13 04:00,136.07
2016-03-13 08:00,136.06
2016-03-13 12:00,136.07
2016-03-13 16:00,136.08
2016-03-13 20:00,136.06
2016-03-14 00:00,136.06
2016-03-14 04:00,136.07
2016-03-14 08:00,136.05
2016-03-14 12:00,136.08
2016-03-14 16:00,136.08
2016-03-14 20:00,136.09
2016-03-15 00:00,136.1
2016-03-15 04:00,136.09
2016-03-15 08:00,136.1
2016-03-15 12:00,136.11
2016-03-15 16:00,136.14
2016-03-15 20:00,136.14
2016-03-16 00:00,136.15
2016-03-16 04:00,136.15
2016-03-16 08:00,136.14
2016-03-16 12:00,136.16
2016-03-16 16:00,136.17
2016-03-16 20:00,136.16
2016-03-17 00:00,136.16
2016-03-17 04:00,136.17
2016-03-17 08:00,136.15
2016-03-17 12:00,136.16
2016-03-17 16:00,136.18
2016-03-17 20:00,136.17
2016-03-18 00:00,136.17
2016-03-18 04:00,136.16
2016-03-18 08:00,136.16
2016-03-18 12:00,136.16
2016-03-18 16:00,136.18
2016-03-18 20:00,136.16
2016-03-19 00:00,136.16
2016-03-19 04:00,136.18
2016-03-19 08:00,136.17
2016-03-19 12:00,136.15
2016-03-19 16:00,136.17
2016-03-19 20:00,136.16
2016-03-20 00:00,136.15
2016-03-20 04:00,136.15
2016-03-20 08:00,136.15
2016-03-20 12:00,136.16
2016-03-20 16:00,136.18
2016-03-20 20:00,136.18
2016-03-21 00:00,136.19
2016-03-21 04:00,136.18
2016-03-21 08:00,136.18
2016-03-21 12:00,136.17
2016-03-21 16:00,136.17
2016-03-21 20:00,136.17
2016-03-22 00:00,136.17
2016-03-22 04:00,136.16
2016-03-22 08:00,136.15
2016-03-22 12:00,136.17
2016-03-22 16:00,136.16
2016-03-22 20:00,136.15
2016-03-23 00:00,136.16
2016-03-23 04:00,136.14
2016-03-23 08:00,136.15
2016-03-23 12:00,136.15
2016-03-23 16:00,136.14
2016-03-23 20:00,136.14
2016-03-24 00:00,136.14
2016-03-24 04:00,136.13
2016-03-24 08:00,136.12
2016-03-24 12:00,136.14
2016-03-24 16:00,136.13
2016-03-24 20:00,136.13
2016-03-25 00:00,136.13
2016-03-25 04:00,136.13
2016-03-25 08:00,136.15
2016-03-25 12:00,136.14
2016-03-25 16:00,136.16
2016-03-25 20:00,136.18
2016-03-26 00:00,136.16
2016-03-26 04:00,136.16
2016-03-26 08:00,136.16
2016-03-26 12:00,136.16
2016-03-26 16:00,136.18
2016-03-26 20:00,136.18
2016-03-27 00:00,136.18
2016-03-27 04:00,136.11
2016-03-27 08:00,136.12
2016-03-27 12:00,136.1
2016-03-27 16:00,136.13
2016-03-27 20:00,136.15
2016-03-28 00:00,136.16
2016-03-28 04:00,136.16
2016-03-28 08:00,136.16
2016-03-28 12:00,136.15
2016-03-28 16:00,136.17
2016-03-28 20:00,136.18
2016-03-29 00:00,136.17
2016-03-29 04:00,136.16
2016-03-29 08:00,136.16
2016-03-29 12:00,136.16
2016-03-29 16:00,136.17
2016-03-29 20:00,136.2
2016-03-30 00:00,136.18
2016-03-30 04:00,136.17
2016-03-30 08:00,136.16
2016-03-30 12:00,136.16
2016-03-30 16:00,136.17
2016-03-30 20:00,136.16
2016-03-31 00:00,136.18
2016-03-31 04:00,136.16
2016-03-31 08:00,136.15
2016-03-31 12:00,136.14
