time,B9-2,B10-2,B12-1,B16-1,B2-1,B22-1,B27,B29,KB1-1,KB4-3,NI1301-1,NI1302-1,NI1403-1,NI1405-1,NI1407-1,NI1408-1,NI1409-1,NI1410-1,NI1411-1,NI1412-1,NI1413-1,NI1501-1,NI1502-2,NI1503-2,NI1504-2,NI1505-1,NI1506-1,NI15-O1,NI15-O44,NI15-O46,NI15-O47,NI15-O48,NI1601-1,NI1602-1,NI1603-1,NI1605-1,NI1606-1,NI1607-1,NI1608-1,NI1609-2,NI1610-2,NI1611-1,NI1612-1,NI1613-1,NI1703-1,NI1704-1,NI1705-1,NI1712-1,NI1801-1,NI1802-1,NI1803-1,NI1804-1
304.1666666667,136.1320230,135.9569413,141.5630187,138.6992926,138.5275955,141.4786524,141.7601562,138.7463342,137.4274459,135.6700846,141.7869527,141.5706041,139.6461170,140.1705529,141.0404698,141.0340446,141.0926198,141.5416995,141.7041435,139.3877511,139.0302495,139.0995693,142.0115501,142.1136084,142.0071714,141.6477290,141.5576304,136.9840117,136.8647014,135.9861212,135.4946378,134.6304744,137.7644874,136.5338884,136.4779692,139.9311086,135.9460053,136.9840117,137.2114680,137.0752799,137.0436680,137.2250566,136.9360131,136.4779692,137.0879061,135.3690485,135.5700612,137.5809568,135.3000727,135.2718044,135.3765007,135.4234415
334.5833333333,136.1324535,135.9575210,141.5598878,138.6994533,138.5273055,141.4758930,141.7569101,138.7455279,137.4280818,135.6704631,141.7839947,141.5676294,139.6465780,140.1708276,141.0379835,141.0312710,141.0907566,141.5395747,141.7015603,139.3882948,139.0309041,139.0978920,142.0072517,142.1094454,142.0033541,141.6442478,141.5543743,136.9842205,136.8649617,135.9861654,135.4948569,134.6306788,137.7652215,136.5342966,136.4782817,139.9314816,135.9463994,136.9842205,137.2115605,137.0754580,137.0438743,137.2254150,136.9362786,136.4782817,137.0882556,135.3693390,135.5704207,137.5815387,135.3004183,135.2721645,135.3768896,135.4238717
365.0000000000,136.0632756,135.9007697,141.5146556,138.6790989,138.5032340,141.4336302,141.7104973,138.7169042,137.4189381,135.6536894,141.7398416,141.5236113,139.6336043,140.1555586,140.9977901,140.9888827,141.0555242,141.5024883,141.6605862,139.3750899,139.0188286,139.0619221,141.9516609,142.0545438,141.9517196,141.5961902,141.5081756,136.9771209,136.8587539,135.9764729,135.4880278,134.6211365,137.7538389,136.5221615,136.4711843,139.9189914,135.9352728,136.9771209,137.1995474,137.0676583,137.0362895,137.2175198,136.9246181,136.4711843,137.0810385,135.3512338,135.5530809,137.5727640,135.2845667,135.2572568,135.3616392,135.4094536
395.4166666667,135.9560895,135.8139666,141.4461877,138.6492903,138.4678393,141.3698362,141.6400866,138.6745816,137.4055636,135.6288148,141.6729500,141.4570380,139.6139214,140.1324432,140.9373761,140.9250502,141.0027574,141.4467008,141.5986938,139.3552801,139.0008401,139.0082708,141.8666652,141.9705860,141.8729687,141.5232500,141.4381956,136.9663964,136.8494432,135.9620418,135.4778674,134.6068410,137.7372926,136.5043163,136.4606541,139.8997394,135.9189402,136.9663964,137.1813551,137.0558278,137.0248202,137.2056931,136.9072347,136.4606541,137.0702538,135.3241521,135.5273013,137.5598035,135.2609398,135.2350650,135.3389816,135.3880995
425.8333333333,136.1760434,135.9876951,141.5748169,138.7029943,138.5320009,141.4891882,141.7729626,138.7517734,137.4303692,135.6763597,141.7990073,141.5819822,139.6499081,140.1744624,141.0495002,141.0437908,141.1002737,141.5507261,141.7148363,139.3914235,139.0338424,139.1072159,142.0292676,142.1313796,142.0229941,141.6608418,141.5697772,136.9872397,136.8673070,135.9893102,135.4973219,134.6345092,137.7674351,136.5380784,136.4806638,139.9350257,135.9497206,136.9872397,137.2169906,137.0789533,137.0471594,137.2284836,136.9406155,136.4806638,137.0909329,135.3766188,135.5767785,137.5842997,135.3065229,135.2778146,135.3825146,135.4289809
456.2500000000,136.3183497,136.1057144,141.6730901,138.7467215,138.5840366,141.5810363,141.8736680,138.8138576,137.4493879,135.7118650,141.8947796,141.6776072,139.6766293,140.2063035,141.1369859,141.1360837,141.1768589,141.6312077,141.8037476,139.4187839,139.0588165,139.1853912,142.1495177,142.2500564,142.1347743,141.7651913,141.6701535,137.0018834,136.8800873,136.0098632,135.5116079,134.6545354,137.7913182,136.5637739,136.4954290,139.9605091,135.9733344,137.0018834,137.2420851,137.0950425,137.0628140,137.2447614,136.9651618,136.4954290,137.1058104,135.4148173,135.6134466,137.6024291,135.3399585,135.3092501,135.4147027,135.4594208
486.6666666667,136.1826581,135.9980448,141.5937292,138.7131582,138.5439323,141.5073170,141.7917440,138.7657172,137.4338968,135.6819721,141.8170088,141.6004901,139.6550667,140.1810024,141.0676363,141.0626974,141.1164495,141.5668756,141.7320052,139.3968767,139.0386597,139.1239200,142.0495875,142.1512200,142.0424602,141.6803976,141.5889982,136.9890796,136.8691132,135.9928863,135.4994845,134.6372783,137.7724333,136.5424811,136.4829995,139.9397082,135.9538822,136.9890796,137.2200495,137.0808554,137.0490867,137.2306952,136.9442981,136.4829995,137.0930492,135.3819459,135.5823699,137.5872016,135.3113600,135.2824186,135.3873489,135.4336931
517.0833333333,136.1037152,135.9330856,141.5400954,138.6896250,138.5158897,141.4572548,141.7367194,138.7321831,137.4236100,135.6627199,141.7647107,141.5483212,139.6404054,140.1635921,141.0200509,141.0124583,141.0748609,141.5230564,141.6835203,139.3819432,139.0250564,139.0815328,141.9836023,142.0860921,141.9812157,141.6233730,141.5341990,136.9810160,136.8620954,135.9817072,135.4916990,134.6263524,137.7595765,136.5285788,136.4749527,139.9256218,135.9411340,136.9810160,137.2062521,137.0719782,137.0404638,137.2217717,136.9309355,136.4749527,137.0849007,135.3611505,135.5624641,137.5773400,135.2931838,135.2653377,135.3698766,135.4171927
547.5000000000,136.1388157,135.9627476,141.5634962,138.7012588,138.5293827,141.4792808,141.7606153,138.7479421,137.4289740,135.6720201,141.7875347,141.5711491,139.6477757,140.1722007,141.0412130,141.0346598,141.0936244,141.5425828,141.7048612,139.3895242,139.0320516,139.1008498,142.0116592,142.1138116,142.0074649,141.6480677,141.5580534,136.9848855,136.8655500,135.9870347,135.4954970,134.6315656,137.7663193,136.5354400,136.4789560,139.9326247,135.9474501,136.9848855,137.2126596,137.0761834,137.0445833,137.2261688,136.9373638,136.4789560,137.0889462,135.3710109,135.5720282,137.5823957,135.3018918,135.2735539,135.3783126,135.4252235
577.9166666667,136.3048101,136.0954635,141.6656686,138.7442698,138.5809406,141.5742483,141.8659206,138.8099658,137.4482875,135.7093452,141.8874797,141.6704296,139.6750220,140.2043892,141.1307565,141.1294181,141.1715634,141.6254036,141.7971179,139.4171917,139.0573717,139.1801108,142.1396878,142.2403325,142.1258127,141.7571505,141.6625352,137.0007680,136.8791819,136.0084387,135.5105978,134.6530289,137.7900425,136.5620481,136.4944316,139.9589114,135.9717775,137.0007680,137.2400636,137.0937769,137.0616077,137.2435927,136.9633723,136.4944316,137.1047699,135.4119267,135.6107926,137.6012733,135.3374888,135.3069492,135.4123769,135.4572668
