name,x,y,zone,kh,kv
ppcond0346,427560,6655010,1,86.4,8.64
ppcond0347,427560,6655030,1,86.4,8.64
ppcond0348,427560,6655050,1,86.4,8.64
ppcond0349,427560,6655070,1,86.4,8.64
ppcond0350,427560,6655090,1,86.4,8.64
ppcond0351,427560,6655130,1,86.4,8.64
ppcond0352,427560,6655150,1,86.4,8.64
ppcond0353,427560,6655190,1,86.4,8.64
ppcond0354,427580,6655070,1,86.4,8.64
ppcond0355,427580,6655090,1,86.4,8.64
ppcond0356,427580,6655150,1,86.4,8.64
ppcond0357,427580,6655170,1,86.4,8.64
ppcond0358,427600,6655090,1,86.4,8.64
ppcond0359,427600,6655150,1,86.4,8.64
ppcond0360,427620,6655110,1,86.4,8.64
ppcond0361,426920,6654920,1,86.4,8.64
ppcond0362,426940,6654930,1,86.4,8.64
ppcond0363,426940,6654940,1,86.4,8.64
ppcond0364,427430.061,6654939.551,1,86.4,8.64
ppcond0365,427410.3759,6654979.529,1,86.4,8.64
ppcond0366,426960,6654930,1,86.4,8.64
ppcond0367,427430.5876,6654959.395,1,86.4,8.64
ppcond0368,426980,6654930,1,86.4,8.64
ppcond0369,427429.7119,6654980.324,1,86.4,8.64
ppcond0370,427000,6654930,1,86.4,8.64
ppcond0371,427410.6197,6654999.705,1,86.4,8.64
ppcond0372,427010,6654940,1,86.4,8.64
ppcond0373,427020,6654930,1,86.4,8.64
ppcond0374,427030,6654920,1,86.4,8.64
ppcond0375,427030,6654940,1,86.4,8.64
ppcond0376,427202.8262,6654953.334,1,86.4,8.64
ppcond0377,427040,6654930,1,86.4,8.64
ppcond0378,427040,6654940,1,86.4,8.64
ppcond0379,427040,6654950,1,86.4,8.64
ppcond0380,427050,6654930,1,86.4,8.64
ppcond0381,427217.217,6654953.388,1,86.4,8.64
ppcond0382,427050,6654950,1,86.4,8.64
ppcond0383,427050,6654960,1,86.4,8.64
ppcond0384,427060,6654940,1,86.4,8.64
ppcond0385,427060,6654950,1,86.4,8.64
ppcond0386,427229.6776,6654951.11,1,86.4,8.64
ppcond0387,427070,6654940,1,86.4,8.64
ppcond0388,427070,6654960,1,86.4,8.64
ppcond0389,427222.8753,6654945.159,1,86.4,8.64
ppcond0390,427080,6654950,1,86.4,8.64
ppcond0391,427080,6654970,1,86.4,8.64
ppcond0392,427090,6654940,1,86.4,8.64
ppcond0393,427090,6654960,1,86.4,8.64
ppcond0394,427214.7778,6654949.945,1,86.4,8.64
ppcond0395,427213.5065,6654954.645,1,86.4,8.64
ppcond0396,427100,6654950,1,86.4,8.64
ppcond0397,427208.9292,6654951.877,1,86.4,8.64
ppcond0398,427110,6654940,1,86.4,8.64
ppcond0399,427110,6654960,1,86.4,8.64
ppcond0400,427120,6654950,1,86.4,8.64
ppcond0401,427209.985,6654955.846,1,86.4,8.64
ppcond0402,427130,6654940,1,86.4,8.64
ppcond0403,427130,6654960,1,86.4,8.64
ppcond0404,427140,6654950,1,86.4,8.64
ppcond0405,427222.8147,6654957.883,1,86.4,8.64
ppcond0406,427150,6654940,1,86.4,8.64
ppcond0407,427150,6654950,1,86.4,8.64
ppcond0408,427150,6654960,1,86.4,8.64
ppcond0409,427160,6654940,1,86.4,8.64
ppcond0410,427160,6654950,1,86.4,8.64
ppcond0411,427195.9834,6654959.471,1,86.4,8.64
ppcond0412,427170,6654930,1,86.4,8.64
ppcond0413,427170,6654940,1,86.4,8.64
ppcond0414,427170,6654950,1,86.4,8.64
ppcond0415,427170,6654960,1,86.4,8.64
ppcond0416,427180,6654930,1,86.4,8.64
ppcond0417,427180,6654940,1,86.4,8.64
ppcond0418,427180,6654950,1,86.4,8.64
ppcond0419,427190,6654930,1,86.4,8.64
ppcond0420,427190,6654940,1,86.4,8.64
ppcond0421,427190,6654950,1,86.4,8.64
ppcond0422,427200,6654920,1,86.4,8.64
ppcond0423,427200,6654930,1,86.4,8.64
ppcond0424,427200,6654940,1,86.4,8.64
ppcond0425,427200,6654950,1,86.4,8.64
ppcond0426,427210,6654900,1,86.4,8.64
ppcond0427,427210,6654910,1,86.4,8.64
ppcond0428,427210,6654920,1,86.4,8.64
ppcond0429,427210,6654930,1,86.4,8.64
ppcond0430,427210,6654940,1,86.4,8.64
ppcond0431,427249.7657,6654959.928,1,86.4,8.64
ppcond0432,427220,6654910,1,86.4,8.64
ppcond0433,427220,6654920,1,86.4,8.64
ppcond0434,427220,6654930,1,86.4,8.64
ppcond0435,427230,6654900,1,86.4,8.64
ppcond0436,427230,6654910,1,86.4,8.64
ppcond0437,427230,6654920,1,86.4,8.64
ppcond0438,427239.365,6654940.481,1,86.4,8.64
ppcond0439,427240,6654910,1,86.4,8.64
ppcond0440,427240,6654920,1,86.4,8.64
ppcond0441,427240,6654930,1,86.4,8.64
ppcond0442,427250,6654910,1,86.4,8.64
ppcond0443,427250,6654920,1,86.4,8.64
ppcond0444,427250,6654930,1,86.4,8.64
ppcond0445,427260,6654910,1,86.4,8.64
ppcond0446,427260,6654920,1,86.4,8.64
ppcond0447,427260,6654930,1,86.4,8.64
ppcond0448,427260,6654940,1,86.4,8.64
ppcond0449,427270,6654920,1,86.4,8.64
ppcond0450,427270,6654930,1,86.4,8.64
ppcond0451,427270,6654940,1,86.4,8.64
ppcond0452,427270,6654950,1,86.4,8.64
ppcond0453,427280,6654930,1,86.4,8.64
ppcond0454,427280,6654940,1,86.4,8.64
ppcond0455,427280,6654950,1,86.4,8.64
ppcond0456,427280,6654960,1,86.4,8.64
ppcond0457,427280,6654970,1,86.4,8.64
