 point             x              y          zone  nugget  sill           a         hanis     bearing
 PP0152         427030.294    6654838.910       1  0.0     1.0             36.428   1.0       0.0
 PP0153         427065.650    6654874.260       1  0.0     1.0             36.430   1.0       0.0
 PP0154         427101.005    6654909.620       1  0.0     1.0             36.083   1.0       0.0
 PP0155         427132.825    6654944.970       1  0.0     1.0             25.118   1.0       0.0
 PP0156         427143.431    6654955.580       1  0.0     1.0             23.793   1.0       0.0
 PP0157         427164.645    6654973.260       1  0.0     1.0             33.045   1.0       0.0
 PP0158         427200.000    6655008.610       1  0.0     1.0             36.429   1.0       0.0
 PP0159         427235.355    6655043.970       1  0.0     1.0             36.428   1.0       0.0
 PP0160         427270.711    6655079.330       1  0.0     1.0             36.431   1.0       0.0
 PP0161         427306.066    6655114.680       1  0.0     1.0             36.427   1.0       0.0
 PP0162         427341.421    6655150.040       1  0.0     1.0             36.431   1.0       0.0
 PP0163         427376.777    6655185.390       1  0.0     1.0             36.428   1.0       0.0
 PP0164         427412.132    6655220.750       1  0.0     1.0             36.431   1.0       0.0
 PP0165         427447.487    6655256.100       1  0.0     1.0             37.467   1.0       0.0
 PP0166         426945.442    6654739.910       1  0.0     1.0             47.571   1.0       0.0
 PP0167         426980.797    6654775.270       1  0.0     1.0             35.524   1.0       0.0
 PP0168         427016.152    6654810.620       1  0.0     1.0             35.525   1.0       0.0
 PP0169         427051.508    6654845.980       1  0.0     1.0             35.523   1.0       0.0
 PP0170         427086.863    6654881.340       1  0.0     1.0             35.525   1.0       0.0
 PP0171         427122.218    6654916.690       1  0.0     1.0             33.673   1.0       0.0
 PP0172         427150.503    6654948.510       1  0.0     1.0             23.457   1.0       0.0
 PP0173         427157.574    6654948.510       1  0.0     1.0             23.750   1.0       0.0
 PP0174         427185.858    6654980.330       1  0.0     1.0             35.912   1.0       0.0
 PP0175         427221.213    6655015.690       1  0.0     1.0             36.146   1.0       0.0
 PP0176         427256.569    6655051.040       1  0.0     1.0             36.145   1.0       0.0
 PP0177         427291.924    6655086.400       1  0.0     1.0             36.145   1.0       0.0
 PP0178         427327.279    6655121.750       1  0.0     1.0             36.145   1.0       0.0
 PP0179         427362.635    6655157.110       1  0.0     1.0             36.146   1.0       0.0
 PP0180         427397.990    6655192.460       1  0.0     1.0             36.145   1.0       0.0
 PP0181         427433.345    6655227.820       1  0.0     1.0             36.145   1.0       0.0
 PP0182         427468.701    6655263.170       1  0.0     1.0             39.645   1.0       0.0
 PP0183         426966.655    6654746.980       1  0.0     1.0             38.881   1.0       0.0
 PP0184         427002.010    6654782.340       1  0.0     1.0             36.960   1.0       0.0
 PP0185         427037.365    6654817.700       1  0.0     1.0             36.962   1.0       0.0
 PP0186         427072.721    6654853.050       1  0.0     1.0             36.960   1.0       0.0
 PP0187         427108.076    6654888.410       1  0.0     1.0             36.961   1.0       0.0
 PP0188         427143.431    6654923.760       1  0.0     1.0             32.356   1.0       0.0
 PP0189         427164.645    6654941.440       1  0.0     1.0             23.413   1.0       0.0
 PP0190         427175.251    6654952.050       1  0.0     1.0             26.904   1.0       0.0
 PP0191         427207.071    6654987.400       1  0.0     1.0             36.545   1.0       0.0
